date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,vehicles and fuel tanks,cruise missiles,greatest losses direction,sum_eq,Ilość,Samoloty,Czołgi,Drony,Tydzień,Ludzie,Żołnierze
2022-04-21,57,172,151,829,2118,393,136,1508.0,76.0,166,8,67,27.0,4.0,,,,1167,17,2,15,2,Dziewiąty,21000,101
2022-04-22,58,176,153,838,2162,397,138,1523.0,76.0,172,8,69,27.0,4.0,,,,1186,20,5,10,7,Dziewiąty,21200,201
2022-04-23,59,177,154,854,2205,403,143,1543.0,76.0,182,8,69,27.0,4.0,,,,1213,28,2,17,11,Dziewiąty,21600,401
2022-04-24,60,179,154,873,2238,408,147,1557.0,76.0,191,8,69,28.0,4.0,,,,1243,31,3,20,10,Dziewiąty,21800,201
2022-04-25,61,181,154,884,2258,411,149,1566.0,76.0,201,8,69,28.0,4.0,,,,1266,24,3,12,11,Dziewiąty,21900,101
2022-04-26,62,184,154,918,2308,416,149,1643.0,76.0,205,8,69,31.0,4.0,,,,1307,42,4,35,5,Dziewiąty,22100,201
2022-04-27,63,185,155,939,2342,421,149,1666.0,76.0,207,8,71,31.0,4.0,,,,1331,25,2,22,3,Dziewiąty,22400,301
2022-04-28,64,187,155,970,2389,431,151,1688.0,76.0,215,8,72,31.0,4.0,,,,1372,42,3,32,9,Dziesiąty,22800,401
2022-04-29,65,189,155,986,2418,435,151,1695.0,76.0,229,8,73,31.0,4.0,,,,1404,33,3,17,15,Dziesiąty,23000,201
2022-04-30,66,190,155,1008,2445,436,151,1701.0,76.0,232,8,77,32.0,4.0,,,,1430,27,2,23,4,Dziesiąty,23200,201
2022-05-01,67,192,155,1026,2471,451,151,,,245,8,80,32.0,,1796.0,84.0,,1463,34,3,19,14,Dziesiąty,23500,301
2022-05-02,68,194,155,1048,2519,459,152,,,271,8,80,38.0,,1824.0,84.0,,1513,51,3,23,27,Dziesiąty,23800,301
2022-05-03,69,194,155,1062,2567,475,162,,,291,10,80,38.0,,1843.0,84.0,,1547,35,1,15,21,Dziesiąty,24200,401
2022-05-04,70,194,155,1077,2610,491,163,,,303,10,81,38.0,,1867.0,87.0,,1574,28,1,16,13,Dziesiąty,24500,301
2022-05-05,71,196,155,1092,2651,499,169,,,312,10,83,38.0,,1907.0,89.0,,1600,27,3,16,10,Jedenasty,24700,201
2022-05-06,72,199,155,1110,2686,502,171,,,324,11,83,38.0,,1926.0,90.0,,1633,34,4,19,13,Jedenasty,24900,201
2022-05-07,73,199,155,1122,2713,509,172,,,341,11,84,38.0,,1934.0,90.0,,1662,30,1,13,18,Jedenasty,25100,201
2022-05-08,74,199,156,1130,2741,509,179,,,360,12,86,39.0,,1961.0,92.0,,1689,28,1,9,20,Jedenasty,25500,401
2022-05-09,75,199,158,1145,2764,513,185,,,377,12,87,41.0,,1970.0,94.0,,1721,33,1,16,18,Jedenasty,25650,151
2022-05-10,76,199,158,1170,2808,519,185,,,380,12,87,41.0,,1980.0,94.0,,1749,29,1,26,4,Jedenasty,26000,351
2022-05-11,77,199,160,1187,2856,528,185,,,390,12,87,41.0,,1997.0,94.0,,1776,28,1,18,11,Jedenasty,26350,351
2022-05-12,78,199,161,1195,2873,534,191,,,398,13,87,41.0,,2019.0,94.0,,1792,17,1,9,9,Dwunasty,26650,301
2022-05-13,79,200,162,1205,2900,542,193,,,405,13,88,41.0,,2042.0,95.0,,1810,19,2,11,8,Dwunasty,26900,251
2022-05-14,80,200,163,1218,2934,551,195,,,411,13,88,42.0,,2059.0,95.0,,1829,20,1,14,7,Dwunasty,27200,301
2022-05-15,81,200,164,1220,2958,555,195,,,416,13,89,42.0,,2087.0,95.0,,1836,8,1,3,6,Dwunasty,27400,201
2022-05-16,82,200,165,1228,2974,577,195,,,427,13,89,42.0,,2101.0,97.0,,1855,20,1,9,12,Dwunasty,27700,301
2022-05-17,83,201,167,1235,3009,578,198,,,436,13,90,43.0,,2109.0,97.0,,1872,18,2,8,10,Dwunasty,27900,201
2022-05-18,84,202,167,1251,3043,586,199,,,441,13,91,43.0,,2137.0,102.0,,1894,23,2,17,6,Dwunasty,28300,401
2022-05-19,85,203,167,1254,3063,595,199,,,455,13,93,43.0,,2157.0,103.0,,1912,19,2,4,15,Trzynasty,28500,201
